"","Filename","ROI","Date","DOY","Red_Avg","Green_Avg","Blue_Avg","Red_SD","Green_SD","Blue_SD","Brightness_Avg","Brightness_SD","Green_Index","Green_Index_SD","Greenness_Excess_index","Greenness_Excess_index_SD","Red_index","Red_Index_SD","Blue_Index","Blue_Index_SD","Major_Plants","Minor_Plants"
"1","estuary_03_01_18_1200",1,2018-03-01 12:00:00,60,101.24889170361,82.2505805362044,68.624727323904,15.2954774539728,13.4280805976501,11.711430839248,252.124199563718,39.6354657714854,0.325941496552459,0.00415231462272821,-5.3724579551052,2.8668748054545,0.402159127625256,0.0131255449143661,0.271899375822285,0.0124622364565934,"iva","spartina"
"2","estuary_03_01_18_1200",2,2018-03-01 12:00:00,60,108.688931433028,87.7739488052188,68.5711550733886,13.7863747464003,11.7974783572017,9.0313450044032,265.034035311636,34.2630435387041,0.330962947189865,0.00390294664874267,-1.71218889597958,2.94133505444051,0.410324108972578,0.00723000607916347,0.258712943837557,0.00719123669810386,"phragmites","N/A"
"3","estuary_03_07_18_1200",1,2018-03-07 12:00:00,66,74.1116653018685,57.9514628154545,49.7832948708405,12.1835173798467,10.5081520360859,9.38514061992169,181.846422988163,31.4122407536461,0.318200670069407,0.00561157856574445,-7.99203454180004,2.56482580785821,0.408465836529083,0.0155875163998023,0.27333349340151,0.015222125580896,"iva","spartina"
"4","estuary_03_07_18_1200",2,2018-03-07 12:00:00,66,80.3870967741936,62.5839160839161,50.3634107827656,10.0835174788235,7.98082916215236,6.2743903374694,193.334423640875,24.0632402234467,0.323582979676433,0.00402227207704065,-5.582675389127,2.18289248955496,0.415816833755314,0.00744257039249545,0.260600186568253,0.00734197398839484,"phragmites","N/A"
"5","estuary_03_08_18_1200",1,2018-03-08 12:00:00,67,71.9820659971306,58.3359397417504,52.2836441893831,11.2963317378884,10.0158200216402,8.82488797333767,182.601649928264,29.5251427228591,0.318970501947245,0.00603661199393253,-7.59383070301291,2.76963371179563,0.394706140770393,0.0139483513334302,0.286323357282362,0.0135059209464088,"iva","spartina"
"6","estuary_03_08_18_1200",2,2018-03-08 12:00:00,67,92.108565834557,74.1014194811552,60.7554576603035,12.190827364529,10.9196781278055,8.89935200719564,226.965442976016,31.8534631935709,0.326139876345326,0.00427961376396817,-4.66118453255017,2.42785786227454,0.406337092513945,0.00585315654358793,0.267523031140729,0.00584999485300864,"phragmites","N/A"
"7","estuary_03_13_18_1200",1,2018-03-13 12:00:00,72,151.38125,121.618481182796,95.3350806451613,22.344404415424,20.8578976197535,20.4978713991849,368.334811827957,62.8589334273603,0.330155345897168,0.00433739046083058,-3.47936827956989,4.50508943000604,0.413110880162968,0.0165793459040823,0.256733773939864,0.0181084239099364,"iva","spartina"
"8","estuary_03_13_18_1200",2,2018-03-13 12:00:00,72,189.537858669603,152.318608718181,111.192434743183,18.057560837712,16.6154305677629,15.3971462529063,453.048902130967,49.4616804853565,0.336227921101279,0.00297780752773258,3.90692402357666,3.92036985094856,0.419197254164736,0.0101230021543378,0.244574824733985,0.0110176331283779,"phragmites","N/A"
"9","estuary_03_14_18_1200",1,2018-03-14 12:00:00,73,120.343482064742,98.2530183727034,82.8149606299213,12.6091472025853,12.0047758996835,11.1463496091754,301.411461067367,34.811849939265,0.325740901425684,0.00421998790177823,-6.65240594925634,3.4938292769641,0.39994524083545,0.0120508550698085,0.274313857738866,0.011984146663615,"iva","spartina"
"10","estuary_03_14_18_1200",2,2018-03-14 12:00:00,73,169.515699000175,139.844062445185,110.567619715839,11.9508191375972,10.9996201809527,9.5424369115256,419.9273811612,32.1990735831664,0.332972234232094,0.00245895421808366,-0.395193825644624,3.06515871518379,0.403898333885016,0.00418273715871182,0.26312943188289,0.0049148800507269,"phragmites","N/A"
"11","estuary_03_19_18_1200",1,2018-03-19 12:00:00,78,163.745404791409,131.700743494424,100.42807724081,22.3464550161875,20.7384426245947,19.6119053062452,395.874225526642,61.7860925089146,0.332620713155887,0.00380835998850406,-0.771995043370508,4.41734548016225,0.415217424024005,0.0143919506977618,0.252161862820108,0.0155248958590811,"iva","spartina"
"12","estuary_03_19_18_1200",2,2018-03-19 12:00:00,78,167.740772048464,134.685967878276,95.756269371654,17.0139439227772,16.0628653598229,14.2141690557806,398.183009298394,47.0176431482323,0.338205567619062,0.00301246054153728,5.8748943364328,3.59011893232705,0.422223019917757,0.00941868249713439,0.239571412463181,0.00959844008252485,"phragmites","N/A"
"13","estuary_03_26_18_1200",1,2018-03-26 12:00:00,85,129.335993280134,103.359512809744,83.2855942881142,14.8149822726107,14.4515454821057,14.9206274774569,315.981100377992,43.7158613481481,0.327082216560374,0.00403805960299942,-5.90256194876102,3.78827217062116,0.410877465303032,0.0132847364692892,0.262040318136595,0.0145264724116863,"iva","spartina"
"14","estuary_03_26_18_1200",2,2018-03-26 12:00:00,85,157.697727608086,124.012468643943,86.1289656190055,19.9758442444989,19.3098148875731,17.9487628572502,367.839161871034,56.962050775715,0.337095167256017,0.00354887865218524,4.19824406079386,3.73502882996984,0.430872015181878,0.015323279877837,0.232032817562105,0.0155539784767019,"phragmites","N/A"
"15","estuary_03_28_18_1200",1,2018-03-28 12:00:00,87,89.9002108222066,72.2470635478366,60.9527155908041,10.5452401259042,9.16692027729918,8.58845265343227,223.099989960847,27.5258885261952,0.323699951040536,0.0042586308522805,-6.35879931733762,2.67814393634072,0.403455916079323,0.0125464134896649,0.272844132880141,0.012860843421346,"iva","spartina"
