,Filename,ROI,Date,DOY,Red_Avg,Green_Avg,Blue_Avg,Red_SD,Green_SD,Blue_SD,Brightness_Avg,Brightness_SD,Green_Index,Green_Index_SD,Greenness_Excess_index,Greenness_Excess_index_SD,Red_index,Red_Index_SD,Blue_Index,Blue_Index_SD,plant
1,centermarsh_03_06_19_1200,1,3/6/2019 12:00,65,159.1856715,125.9926321,92.03298988,21.92445773,20.82148026,18.99807248,377.2112935,61.28193175,0.333832903,0.003877274,0.766602869,3.962263864,0.424086757,0.014936184,0.24208034,0.014884678,c3
2,centermarsh_03_07_19_1200,1,3/7/2019 12:00,66,93.63749449,73.9173571,58.06613057,11.13513447,10.49074982,9.789349914,225.6209822,30.7625878,0.327386024,0.004930046,-3.868910859,3.144880498,0.416290266,0.014343689,0.25632371,0.014129883,c3
3,centermarsh_03_08_19_1200,1,3/8/2019 12:00,67,109.3220449,87.92005172,70.24432604,15.28405896,14.19426052,12.58838986,267.4864226,41.62379572,0.328388466,0.005014096,-3.726267445,3.699160953,0.409880257,0.011658634,0.261731277,0.011329073,c3
4,centermarsh_03_08_19_1200,2,3/8/2019 12:00,67,98.70014801,78.18654622,62.59878528,14.16247913,13.1618633,12.27917865,239.4854795,39.36569351,0.326256715,0.004081857,-4.925840862,2.722267706,0.413833554,0.012840385,0.259909731,0.011670235,c3
5,centermarsh_03_11_19_1200,1,3/11/2019 12:00,70,109.2236233,90.41985883,65.63135064,19.47820737,18.69318486,17.22015817,265.2748327,55.10688764,0.340947519,0.004275912,5.984743769,3.248948433,0.414579061,0.016395805,0.24447342,0.017578545,c3
6,centermarsh_03_11_19_1200,2,3/11/2019 12:00,70,125.9078881,104.7044724,76.26635949,18.90418195,18.25937385,17.18747223,306.87872,54.02816736,0.341329897,0.004073125,7.234697328,3.510969376,0.412500374,0.015229904,0.246169728,0.01641014,c3
7,centermarsh_03_18_19_1200,1,3/18/2019 12:00,77,68.33057182,53.64880002,38.38969479,11.05684968,10.39133449,9.690043066,160.3690666,30.79044001,0.334475254,0.005424849,0.577333422,2.378724711,0.429209062,0.021574525,0.236315685,0.021805129,c3
8,centermarsh_03_22_19_1200,1,3/22/2019 12:00,81,163.4906485,126.2564675,81.60676943,33.9352311,30.23104585,23.86805973,371.3538854,87.36694108,0.339626183,0.005061728,7.415517157,5.613114078,0.443795882,0.020266634,0.216577935,0.02009592,c3
9,centermarsh_03_22_19_1200,2,3/22/2019 12:00,81,136.9574272,103.7772368,66.33749865,25.14728859,22.5106817,17.92553549,307.0721627,64.89749381,0.337544506,0.005286208,4.259547766,5.000701546,0.449243005,0.020392638,0.213212489,0.020019499,c3
10,centermarsh_03_23_19_1200,1,3/23/2019 12:00,82,149.206629,114.0476901,73.9368601,41.58281724,36.68867339,30.24778696,337.1911792,107.3300746,0.337405264,0.010336949,4.951891013,5.979348802,0.451640786,0.041633405,0.21095395,0.039804433,c3
