Filename,ROI,Date,DOY,Red_Avg,Green_Avg,Blue_Avg,Red_SD,Green_SD,Blue_SD,Brightness_Avg,Brightness_SD,Green_Index,Green_Index_SD,Greenness_Excess_index,Greenness_Excess_index_SD,Red_index,Red_Index_SD,Blue_Index,Blue_Index_SD,plant
centerright_05_01_19_1200,1,5/1/2019 12:00,121,98.49826642,86.12140093,62.43395809,17.74965093,17.29919231,16.44794075,247.0536254,51.158461,0.34913737,0.008078819,11.31057736,5.201145708,0.401180232,0.015179022,0.249682397,0.01816254,c3
rightmarsh_05_10_19_1200,1,5/10/2019 12:00,130,95.20127119,89.11248074,54.22939137,22.07337317,19.28432643,20.85587217,238.5431433,61.60435206,0.377770387,0.023181133,28.79429892,11.2538896,0.401969114,0.018568863,0.220260499,0.029676116,c3
centermarsh_05_14_19_1200,1,5/14/2019 12:00,134,188.1769268,171.6486773,96.22803723,19.6380151,14.0331213,18.69677436,456.0536414,50.56772468,0.377772319,0.016798666,58.89239059,18.26144061,0.41295979,0.008907023,0.209267891,0.017702523,c3
centermarsh_05_14_19_1200,2,5/14/2019 12:00,134,38.33670803,44.0568256,18.86152841,7.850652969,7.239590243,5.733470568,101.2550621,20.2114419,0.438504184,0.025045113,30.91541476,5.93427721,0.378361053,0.011664894,0.183134764,0.022675999,c3
centermarsh_05_14_19_1200,3,5/14/2019 12:00,134,135.7273115,126.1972731,58.00979974,24.35883247,19.2876735,18.7340472,319.9343843,61.07339754,0.397737196,0.023014128,58.65743502,14.86326679,0.425647211,0.017781354,0.176615593,0.027584943,c3
rightmarsh_05_22_19_1200,1,5/22/2019 12:00,142,85.83272659,90.55236159,38.86114132,22.23002058,19.30790668,18.36773455,215.2462295,59.07593448,0.428360663,0.032895426,56.41085528,9.548675023,0.400899071,0.019490767,0.170740266,0.040738312,c3
rightmarsh_05_22_19_1200,2,5/22/2019 12:00,142,88.05314402,95.14482759,38.21176471,9.501727814,8.266491023,8.256647575,221.4097363,25.61074763,0.431155948,0.014109106,64.02474645,4.543404007,0.39812668,0.009439911,0.170717371,0.017196945,c3
centerright_05_27_19_1200,1,5/27/2019 12:00,147,42.88707307,49.18805479,23.6855564,6.33647962,6.332782918,6.070374282,115.7606843,18.46177987,0.426953777,0.01728458,31.8034801,3.935383691,0.371235175,0.009399702,0.201811048,0.019953538,c3
centerright_05_27_19_1200,2,5/27/2019 12:00,147,40.53484781,47.14033777,23.37762168,7.671481463,6.855108343,6.847705712,111.0528073,21.08715004,0.427700945,0.020227108,30.36820605,3.288063041,0.365219343,0.01353133,0.207079712,0.021116966,c3
rightmarsh2_05_10_19_1200,1,5/10/2019 12:00,130,55.71719087,51.221275,33.25032391,11.97008672,10.43763929,11.04238203,140.1887898,32.66094277,0.368626348,0.027263716,13.47503521,9.396620483,0.399257725,0.019464148,0.232115927,0.025424382,mixed
